EVENT,TIME,PACKET LENGTH
OBSERVATION,0.06617463969406676,
OBSERVATION,0.06849007016249,
OBSERVATION,0.20371239569412175,
OBSERVATION,0.2840614476332126,
OBSERVATION,0.4128409312512713,
OBSERVATION,0.4663299333114016,
OBSERVATION,0.5183563342590084,
OBSERVATION,0.6170064231578084,
OBSERVATION,0.6474872157100077,
OBSERVATION,0.6537165094714372,
OBSERVATION,0.6966853465661688,
OBSERVATION,0.7026853733390289,
OBSERVATION,0.7934779002829939,
ARRIVAL,0.8350778393990698,670.8587643380789
DEPARTURE,0.8357486981634078,670.8587643380789
OBSERVATION,0.9295042599425547,
OBSERVATION,1.115268467231224,
OBSERVATION,1.1920833295306692,
OBSERVATION,1.2441868621718712,
OBSERVATION,1.304610381899606,
ARRIVAL,1.4867989040867737,841.4144946799661
DEPARTURE,1.4876403185814537,841.4144946799661
OBSERVATION,1.5519702953689356,
OBSERVATION,1.5769741870698186,
OBSERVATION,1.6323446950158496,
OBSERVATION,2.370866104940149,
OBSERVATION,2.455580344965092,
OBSERVATION,2.5976902734096674,
OBSERVATION,2.743643364096997,
OBSERVATION,3.0515752240413327,
OBSERVATION,3.1406914070844585,
OBSERVATION,3.14508378679787,
OBSERVATION,3.174963235545208,
OBSERVATION,3.236354692905538,
OBSERVATION,3.2595315140027847,
OBSERVATION,3.4476549406516614,
OBSERVATION,3.6664400398296437,
OBSERVATION,3.702448082440209,
OBSERVATION,3.74855281349552,
OBSERVATION,3.8385747787348614,
OBSERVATION,3.9341845761881826,
OBSERVATION,3.9926617588591222,
OBSERVATION,4.043086260832243,
OBSERVATION,4.0566012550093395,
OBSERVATION,4.11898058011354,
OBSERVATION,4.136104825996616,
OBSERVATION,4.198296476224555,
ARRIVAL,4.381815034800216,886.7748629009214
DEPARTURE,4.382701809663117,886.7748629009214
OBSERVATION,4.890311512381998,
OBSERVATION,4.891528886209085,
OBSERVATION,4.953470090237478,
OBSERVATION,5.037597896998402,
OBSERVATION,5.056439421808327,
ARRIVAL,5.137318362814096,1770.6660955849507
DEPARTURE,5.13908902890968,1770.6660955849507
ARRIVAL,5.344595231006358,436.58109299682815
DEPARTURE,5.3450318120993545,436.58109299682815
OBSERVATION,5.350343711718696,
OBSERVATION,5.396410055032854,
OBSERVATION,5.5811035115803955,
OBSERVATION,5.643079037426268,
OBSERVATION,5.680015288443674,
OBSERVATION,5.785485092861669,
OBSERVATION,5.896126252939674,
OBSERVATION,6.028553974122949,
OBSERVATION,6.060523191323035,
OBSERVATION,6.077561094044279,
OBSERVATION,6.1315955380371,
OBSERVATION,6.26506971940159,
OBSERVATION,6.436198421458814,
ARRIVAL,6.599636065629806,5894.124984912437
DEPARTURE,6.605530190614719,5894.124984912437
OBSERVATION,6.697710422932897,
OBSERVATION,7.2028860981433445,
ARRIVAL,7.246096353107446,342.77801251303157
DEPARTURE,7.246439131119959,342.77801251303157
OBSERVATION,7.464108523587368,
OBSERVATION,7.632627516914302,
OBSERVATION,7.666534875203438,
OBSERVATION,7.712429644236678,
OBSERVATION,7.918879490720625,
OBSERVATION,7.926133844972795,
OBSERVATION,8.004962588845494,
OBSERVATION,8.152653414849418,
OBSERVATION,8.159571817350416,
OBSERVATION,8.179621883419221,
OBSERVATION,8.377730576406927,
OBSERVATION,8.377993697667133,
OBSERVATION,8.582867884003305,
OBSERVATION,8.601834623950523,
OBSERVATION,8.681673170942892,
OBSERVATION,8.699223386064096,
OBSERVATION,8.72057453531124,
OBSERVATION,8.761492780507405,
OBSERVATION,8.916001908089367,
ARRIVAL,9.03927435774398,426.2269379140567
DEPARTURE,9.039700584681894,426.2269379140567
OBSERVATION,9.18379091666581,
OBSERVATION,9.20446695637762,
OBSERVATION,9.378952682323138,
OBSERVATION,9.50564302048403,
OBSERVATION,9.910707220444973,
OBSERVATION,10.210867759435958,
ARRIVAL,10.251605856002026,1090.7629549138264
DEPARTURE,10.25269661895694,1090.7629549138264
OBSERVATION,10.264316709628455,
OBSERVATION,10.264480686466973,
OBSERVATION,10.60674359075199,
OBSERVATION,10.607718435287737,
OBSERVATION,10.677070863508742,
ARRIVAL,10.83856474612934,1077.4376755306143
DEPARTURE,10.83964218380487,1077.4376755306143
OBSERVATION,10.87455958678222,
OBSERVATION,10.877588669739646,
OBSERVATION,10.909099046106936,
OBSERVATION,11.445817959322694,
OBSERVATION,11.460686146889833,
ARRIVAL,11.784973959506896,576.8610010516355
DEPARTURE,11.785550820507948,576.8610010516355
OBSERVATION,11.788088340352967,
OBSERVATION,11.865311838852337,
OBSERVATION,11.995712753730889,
OBSERVATION,12.119893456155845,
OBSERVATION,12.210247743117955,
OBSERVATION,12.225780273395857,
OBSERVATION,12.284588383831897,
OBSERVATION,12.677637340459462,
OBSERVATION,12.72356285314794,
ARRIVAL,12.876361424793446,1672.4072834323897
DEPARTURE,12.878033832076879,1672.4072834323897
OBSERVATION,12.974081784607634,
OBSERVATION,13.4402560651638,
OBSERVATION,13.539321104858459,
OBSERVATION,13.593102263040619,
OBSERVATION,13.658432723236613,
OBSERVATION,13.698677683317642,
OBSERVATION,13.840177659026327,
OBSERVATION,13.853996692074622,
OBSERVATION,13.95594183243516,
OBSERVATION,13.978505035802787,
OBSERVATION,14.023248051937257,
OBSERVATION,14.070540311579748,
OBSERVATION,14.391282607573597,
ARRIVAL,14.563824193465493,1692.265685590823
DEPARTURE,14.565516459151084,1692.265685590823
ARRIVAL,14.574953495941712,1143.5795265697577
DEPARTURE,14.576097075468281,1143.5795265697577
OBSERVATION,14.656344094236196,
OBSERVATION,14.67272131324797,
OBSERVATION,14.74148519472765,
OBSERVATION,14.870552488559932,
OBSERVATION,14.881113511430495,
OBSERVATION,14.935913379608458,
OBSERVATION,14.947857675590354,
OBSERVATION,15.01658023607609,
OBSERVATION,15.150701092052953,
OBSERVATION,15.185248311510108,
OBSERVATION,15.218360863464179,
OBSERVATION,15.293366892522574,
OBSERVATION,15.29608176722842,
OBSERVATION,15.370159463022047,
OBSERVATION,15.383437569584562,
OBSERVATION,15.592500312595536,
OBSERVATION,15.694428683717625,
OBSERVATION,15.746266146430317,
OBSERVATION,15.75817424654078,
OBSERVATION,15.8911096677278,
OBSERVATION,16.054526027986324,
OBSERVATION,16.055397417030832,
OBSERVATION,16.12159838363152,
OBSERVATION,16.16716485814058,
OBSERVATION,16.442330988135005,
ARRIVAL,16.75199454690591,470.94947052090174
DEPARTURE,16.75246549637643,470.94947052090174
OBSERVATION,16.78690477383464,
OBSERVATION,16.91665452678524,
OBSERVATION,16.965552870104435,
OBSERVATION,17.182329935462903,
OBSERVATION,17.332579634631703,
OBSERVATION,17.529867422765196,
OBSERVATION,17.56746198607537,
OBSERVATION,17.715203852071802,
OBSERVATION,17.936791188238175,
OBSERVATION,17.964610756935187,
ARRIVAL,18.247387846982146,364.31837385424456
DEPARTURE,18.247752165356,364.31837385424456
OBSERVATION,18.396691143733864,
OBSERVATION,18.427960548876225,
ARRIVAL,18.519444532552995,602.3538391377493
DEPARTURE,18.520046886392134,602.3538391377493
OBSERVATION,18.561918028294127,
OBSERVATION,18.61658922385247,
OBSERVATION,18.67082092234271,
OBSERVATION,18.904250702787643,
OBSERVATION,18.96959450502878,
OBSERVATION,19.31844200409809,
OBSERVATION,19.402622936892193,
OBSERVATION,19.687815720532235,
OBSERVATION,19.775977022051958,
OBSERVATION,19.856130671873593,
OBSERVATION,19.908877776359404,
OBSERVATION,19.925396210348854,
OBSERVATION,20.21140948294704,
OBSERVATION,20.221764631078166,
OBSERVATION,20.249197247044776,
OBSERVATION,20.347333442332577,
OBSERVATION,20.461268096742064,
OBSERVATION,20.598927286827603,
OBSERVATION,20.661575603082582,
OBSERVATION,20.81643448362173,
OBSERVATION,21.08086920711139,
OBSERVATION,21.094022508135556,
OBSERVATION,21.308928957601328,
OBSERVATION,21.316040389526318,
OBSERVATION,21.44551052599497,
OBSERVATION,21.45349768744992,
OBSERVATION,21.463682712548447,
OBSERVATION,21.51912433211955,
OBSERVATION,21.604591161544267,
OBSERVATION,21.648588502296306,
ARRIVAL,21.89277873913889,3865.388121205636
