rho,Na,Nd,No,E[N],pIdle
0.25,125311,125311,625205,0.33515886789133165,0.7491526779216418
0.35,175342,175342,875596,0.5388181307360929,0.6491178580075743
0.45,224247,224247,1124332,0.8113084035676295,0.5517996463677989
0.55,275490,275490,1375203,1.2266174521143425,0.45012336360522776
0.65,324799,324799,1625465,1.8351130291947226,0.3513929860070811
0.75,375900,375900,1875378,3.036821376810435,0.248345133621062
0.85,424285,424285,2124177,5.761066992063279,0.15075721091039024
0.95,474258,474258,2372196,18.268325635824358,0.050412360530074245
